23:56:24.266 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
23:56:24.485 [main] INFO  alevel.ApplicationRunnable - Starting ApplicationRunnable v1.1 using Java 17 on MacBook-Pro-Serhio.local with PID 37730 (/Users/drn_serhio/Desktop/nix_8/module_3/target/module_3.jar started by drn_serhio in /Users/drn_serhio/Desktop/nix_8/module_3)
23:56:24.485 [main] INFO  alevel.ApplicationRunnable - No active profile set, falling back to default profiles: default
23:56:26.036 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
23:56:26.039 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
23:56:26.061 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 JDBC repository interfaces.
23:56:26.131 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
23:56:26.134 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23:56:26.255 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 0 JPA repository interfaces.
23:56:27.218 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8751 (http)
23:56:27.246 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8751"]
23:56:27.247 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:56:27.248 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
23:56:27.310 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:56:27.311 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2516 ms
23:56:27.666 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.4.Final
23:56:27.994 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
23:56:28.468 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
23:56:28.583 [main] WARN  org.hibernate.cfg.AnnotationBinder - HHH000136: Inapropriate use of @OnDelete on entity, annotation ignored: alevel.model.impl.Account
23:56:29.943 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23:56:29.968 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
23:56:29.969 [main] WARN  org.hibernate.cfg.AnnotationBinder - HHH000136: Inapropriate use of @OnDelete on entity, annotation ignored: alevel.model.impl.Account
23:56:30.117 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23:56:31.931 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8751"]
23:56:31.974 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8751 (http) with context path ''
23:56:31.998 [main] INFO  alevel.ApplicationRunnable - Started ApplicationRunnable in 9.409 seconds (JVM running for 10.506)
23:57:00.634 [http-nio-8751-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:57:00.676 [http-nio-8751-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:57:00.795 [http-nio-8751-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 118 ms
23:57:02.432 [http-nio-8751-exec-2] INFO  alevel.dao.impl.UserDao - Create page user : ResponseAbstTablePage(content=[User(firstname=Serhio, lastname=Duran, username=drn_serhio, phone=0980404087, accounts=[Account(id=5, nameAccount=2021, money=0, createAccount=2022-01-27, operation=[])]), User(firstname=Red, lastname=Red, username=red4, phone=2312312, accounts=[]), User(firstname=White, lastname=White, username=white, phone=123123, accounts=[]), User(firstname=New, lastname=New, username=41241241, phone=null, accounts=[])], page=1, totalPages=2, showEntity=4, allSizeEntity=5, sort=asc, showEntityTo=5, showEntityFrom=1)
23:57:18.338 [http-nio-8751-exec-6] INFO  alevel.dao.impl.UserDao - Method createAccount: create acount with id 6
23:58:08.541 [http-nio-8751-exec-9] INFO  alevel.dao.impl.UserDao - Method createAccount: create acount with id 7
23:58:13.689 [http-nio-8751-exec-2] INFO  alevel.dao.impl.UserDao - account with id sucess delete : 7
